symbol,closed_trades,realized_pnl,charges,pat
NIFTY02JAN2523750CE,1,-235621.5,50.0,-235671.5
NIFTY02JAN2523750PE,1,78333.75,50.0,78283.75
NIFTY30JAN25FUT,42,-442392.975,8400.0,-450792.975
NIFTY09JAN2523600PE,1,-27879.75,50.0,-27929.75
NIFTY09JAN2523600CE,1,33341.25,50.0,33291.25
NIFTY16JAN2523350CE,1,21915.75,50.0,21865.75
NIFTY16JAN2523350PE,1,-2769.0,50.0,-2819.0
